day,slot_type,slot_time,teacher_id,room_id,room_number,course_id,course_code,course_name
Thursday,Theory,16:00-16:50,187,6,A110,1868,CS23533,Foundations of Artificial Intelligence
Friday,Theory,16:00-16:50,187,8,A203,1868,CS23533,Foundations of Artificial Intelligence
Saturday,Theory,11:00-11:50,187,3,A104/105,1868,CS23533,Foundations of Artificial Intelligence
Wednesday,Theory,17:00-17:50,188,38,B325,1868,CS23533,Foundations of Artificial Intelligence
Friday,Theory,17:00-17:50,188,7,A202,1868,CS23533,Foundations of Artificial Intelligence
Saturday,Theory,10:00-10:50,188,5,A109,1868,CS23533,Foundations of Artificial Intelligence
Tuesday,Theory,13:00-13:50,191,36,B321,1542,CS23311,Computer Architecture
Tuesday,Theory,14:00-14:50,191,13,A210,1542,CS23311,Computer Architecture
Friday,Theory,9:00-9:50,191,7,A202,1542,CS23311,Computer Architecture
Monday,Theory,9:00-9:50,192,29,B218,1544,CS23332,Database Management Systems
Tuesday,Theory,13:00-13:50,192,3,A104/105,1544,CS23332,Database Management Systems
Wednesday,Theory,13:00-13:50,192,25,B210,1544,CS23332,Database Management Systems
Tuesday,Theory,11:00-11:50,195,16,A303,1868,CS23533,Foundations of Artificial Intelligence
Tuesday,Theory,17:00-17:50,195,4,A108,1868,CS23533,Foundations of Artificial Intelligence
Wednesday,Theory,17:00-17:50,195,12,A209,1868,CS23533,Foundations of Artificial Intelligence
Monday,Theory,10:00-10:50,196,23,B106,1543,CS23331,Design and Analysis of Algorithms
Saturday,Theory,8:00-8:50,196,5,A109,1543,CS23331,Design and Analysis of Algorithms
Saturday,Theory,14:00-14:50,196,29,B218,1543,CS23331,Design and Analysis of Algorithms
Tuesday,Theory,8:00-8:50,197,29,B218,1545,CS23333,Object Oriented Programming Using JAVA
Thursday,Theory,14:00-14:50,197,16,A303,1545,CS23333,Object Oriented Programming Using JAVA
Saturday,Theory,11:00-11:50,197,37,B322,1545,CS23333,Object Oriented Programming Using JAVA
Tuesday,Theory,8:00-8:50,198,22,A311,1556,CS23532,Computer Networks
Tuesday,Theory,13:00-13:50,198,9,A204,1556,CS23532,Computer Networks
Saturday,Theory,15:00-15:50,198,33,B222,1556,CS23532,Computer Networks
Monday,Theory,12:00-12:50,199,28,B213,1545,CS23333,Object Oriented Programming Using JAVA
Tuesday,Theory,14:00-14:50,201,20,A309,1542,CS23311,Computer Architecture
Friday,Theory,8:00-8:50,201,33,B222,1542,CS23311,Computer Architecture
Saturday,Theory,8:00-8:50,201,22,A311,1542,CS23311,Computer Architecture
Saturday,Theory,15:00-15:50,202,26,B211,1555,CS23531,Web Programming
Wednesday,Theory,18:00-18:50,203,5,A109,1545,CS23333,Object Oriented Programming Using JAVA
Thursday,Theory,13:00-13:50,205,11,A208,1543,CS23331,Design and Analysis of Algorithms
