course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
AV23121,Aeronautical Engineering,1,Avionics Lab,,,,,AVIONICS INTEGRATION LABORATORY
AV23122,Aeronautical Engineering,1,Medical Image Processing Lab,,,,,IMAGE PROCESSING LABORATORY
CH19712,Chemical Engineering,1,Process Control Lab,,,,,Process Control Lab
MT23334,Mechatronics Engineering,1,Strength of Materials Lab,,,,,Mechanics of Solids
MT19712,Mechatronics Engineering,1,Industrial Automation Lab,,,,,Industrial Automation Laboratory
MT23333,Mechatronics Engineering,1,Manufacturing Technology I,,,,,Manufacturing Technology
AE23333,Aeronautical Engineering,2,Thermal Lab 2,Thermal Lab 1,,,,Aero Engineering Thermodynamics
AE23432,Aeronautical Engineering,1,Aircraft Structures Lab,,,,,Aircraft Materials and Processes
AE23531,Aeronautical Engineering,1,Aircraft Structures Lab,,,,,Aircraft Structures - II
AE23433,Aeronautical Engineering,1,Airframe Repair and Aero Engine Lab,,,,,Aircraft Systems and Instruments
AE23521,Aeronautical Engineering,1,Aero CAD Lab,,,,,Computational Simulation Laboratory
AE23621,Aeronautical Engineering,1,Aero CAD Lab,,,,,
AE19741,Aeronautical Engineering,1,Avionics Lab,,,,,Avionics
AE19712,Aeronautical Engineering,1,Aero CAD Lab,,,,,Structural And Flow Simulation Laboratory
AE23731,Aeronautical Engineering,1,Avionics Lab,,,,,
EE23133,Aeronautical Engineering,1,Electrical Machines I Lab,,,,,Basic Electrical and Electronics Engineering
AE23623,Aeronautical Engineering,1,Aero CAD Lab,,,,,
AE23321,Aeronautical Engineering,1,TANCAM,,,,,Computer Aided Modelling Laboratory
CY23223,Aeronautical Engineering,1,Chemistry Lab,,,,,Engineering Chemistry
GE23121,Aeronautical Engineering,3,Machine Shop FF1 - EPL - 1,Machine Shop FF2 - EPL - 2,Machine Shop FF3 - EPL - 3,,,Engineering Practices - Civil & Mechanical
GE23122,Aeronautical Engineering,2,Engineering Practices Lab (Electrical),Engineering Practices Lab (Electronics),,,,Engineering Practices - Electrical
AE23631,Aeronautical Engineering,1,Aero CAD Lab,,,,,Flight Vehicle Design
AE23332,Aeronautical Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics and Fluid Machinery
AE23431,Aeronautical Engineering,1,Aerodynamics Lab,,,,,Incompressible Aerodynamics
AE23622,Aeronautical Engineering,1,Aerodynamics Lab,,,,,Jet propulsion Laboratory
