id,student_count,academic_year,semester,requires_special_scheduling,is_assistant,teacher_id,staff_code,first_name,last_name,teacher_email,course_id,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,teacher_dept,course_dept,instance_number,assignment_description
95,70,3,5,0,0,187,IT03,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23533
109,70,3,5,0,0,187,IT03,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23533
207,70,2,3,0,0,191,CS218,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23311
208,70,2,3,0,0,191,CS218,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23311
274,70,3,5,0,0,195,CS203,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23533
275,70,3,5,0,0,195,CS203,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23533
246,70,2,3,0,0,212,CS284,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23334
247,70,2,3,0,0,212,CS284,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23334
244,70,3,5,0,0,217,CS256,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1,Instance 1 of CS23532
581,65,3,5,0,0,217,CS256,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,2,Instance 2 of CS23532
