id,student_count,academic_year,semester,requires_special_scheduling,is_assistant,teacher_id,staff_code,first_name,last_name,teacher_email,course_id,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,instance_number
95,70,3,5,0,0,187,IT03,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,1
109,70,3,5,0,0,187,IT03,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,2
207,70,2,3,0,0,191,CS218,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,1
208,70,2,3,0,0,191,CS218,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,2
274,70,3,5,0,0,195,CS203,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,1
275,70,3,5,0,0,195,CS203,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,2
246,70,2,3,0,0,212,CS284,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,1
247,70,2,3,0,0,212,CS284,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,2
244,70,3,5,0,0,217,CS256,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,1
581,65,3,5,0,0,217,CS256,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,2
216,70,2,3,0,0,220,CS282,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,1
217,70,2,3,0,0,220,CS282,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,2
253,70,3,5,0,0,222,CS255,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,1
254,70,3,5,0,0,222,CS255,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,2
277,70,3,5,0,0,223,CS272,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,1
278,70,3,5,0,0,223,CS272,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,2
281,70,3,5,0,0,234,IT210,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,1
282,70,3,5,0,0,234,IT210,,,,1553,CS23511,Theory of Computation,T,3,0,1,4.0,Computer Science & Engineering,2
295,70,3,5,0,0,268,CS334,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,1
296,70,3,5,0,0,268,CS334,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,2
753,64,4,7,0,0,298,EE43,,,,2023,EE19741,Renewable Energy Systems,LoT,3,2,0,4.0,Electrical & Electronics Engineering,1
755,32,4,7,0,0,298,EE43,,,,2023,EE19741,Renewable Energy Systems,LoT,3,2,0,4.0,Electrical & Electronics Engineering,2
627,34,3,5,0,0,303,EE48,,,,1609,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1.0,Electrical & Electronics Engineering,1
628,34,3,5,0,0,303,EE48,,,,1609,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1.0,Electrical & Electronics Engineering,2
304,70,2,3,0,0,1753,New Staff-1,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,1
305,70,2,3,0,0,1753,New Staff-1,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,2
306,70,2,3,0,0,1754,New Staff-2,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,1
307,70,2,3,0,0,1754,New Staff-2,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,2
308,70,2,3,0,0,1755,New Staff-3,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,1
310,70,2,3,0,0,1755,New Staff-3,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,2
311,70,2,3,0,0,1756,New Staff-4,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,1
312,70,2,3,0,0,1756,New Staff-4,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,2
313,70,2,3,0,0,1757,New Staff-5,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,1
315,70,2,3,0,0,1757,New Staff-5,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,2
316,70,2,3,0,0,1758,New Staff-6,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,1
318,70,2,3,0,0,1758,New Staff-6,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,2
344,70,2,3,0,0,1763,New Staff-11,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,1
345,70,2,3,0,0,1763,New Staff-11,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,2
