,id,room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level,maintained_by_id_id,green_board,isLcsAvailable,smart_board
0,1,A102,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
1,2,A103,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
2,3,A104/105,A Block,Classroom,0,Classroom,110,140,0,0,,29,0,0,0
3,4,A108,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
4,5,A109,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
5,6,A110,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
6,7,A202,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
7,8,A203,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
8,9,A204,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
9,10,A205,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
10,11,A208,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
11,12,A209,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
12,13,A210,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
13,14,A211,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
14,15,A302,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
15,16,A303,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
16,17,A304,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
17,18,A305,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
18,19,A308,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
19,20,A309,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
20,21,A310,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
21,22,A311,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
101,102,TIFAC I01,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
102,103,TIFAC I02,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
103,104,TIFAC I03,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
104,105,TIFAC I04,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
105,106,TIFAC I11,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
106,107,TIFAC I12,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
107,108,TIFAC I13,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
108,109,TIFAC IV02,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
109,110,TIFAC IV04,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
110,111,TIFAC V03,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
111,112,TIFAC V04,A Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
172,173,TIFAC I01,A Block,Computer Lab (Arch),1,Laboratory,50,70,1,0,,13,0,0,0
